CaseID,Gender,Age,Education,Race/ Ethnicity,Region,Registered to Vote,Religion,Volunteered in the Past Year,Attended a Political Rally in the Past Year,Contacted an Elected Official in the Past Year,Political Donation in the Past Year,Househol Income,Political Party,User Frequency
956,Male,59,Some College,White/Non-Hispanic,South,Yes,"Christian, Protestant",0,0,0,0,150k+,Other,A few times a week
958,Male,64,Bachelor and Beyond,White/Non-Hispanic,Midwest,Yes,"Christian, Roman Catholic",1,0,1,0,75k to <100k,Republican,Several Times a day
960,Female,54,Bachelor and Beyond,White/Non-Hispanic,South,Yes,"Christian, Roman Catholic",1,0,0,0,100k to <150k,Republican,A few times a week
962,Male,43,Some College,White/Non-Hispanic,West,Yes,Atheist,1,1,0,0,150k+,Democrat,Several Times a day
963,Female,50,Bachelor and Beyond,White/Non-Hispanic,West,Yes,Atheist,1,1,1,1,75k to <100k,Democrat,Several Times a day
964,Male,67,Bachelor and Beyond,White/Non-Hispanic,West,Yes,Nothing in particular,0,0,0,0,100k to <150k,Other,A few times a week
965,Male,67,Some College,White/Non-Hispanic,South,Yes,"Christian, Protestant",1,0,1,0,25k to <50k,Republican,Once a month or less
967,Female,42,Bachelor and Beyond,White/Non-Hispanic,South,Yes,Other,1,0,1,1,75k to <100k,Other,Once a day
968,Female,35,Some College,White/Non-Hispanic,Midwest,Yes,Atheist,1,0,1,1,75k to <100k,Democrat,A few times a month
969,Male,39,Bachelor and Beyond,White/Non-Hispanic,Midwest,Yes,"Christian, Protestant",1,0,0,0,100k to <150k,Other,A few times a month
970,Female,64,Bachelor and Beyond,White/Non-Hispanic,South,Yes,Atheist,1,1,0,1,150k+,Democrat,Several Times a day
971,Female,40,Some College,Hispanic,South,Yes,Agnostic,1,0,1,0,75k to <100k,Other,Once a month or less
972,Male,79,Bachelor and Beyond,White/Non-Hispanic,South,Yes,"Christian, Protestant",1,0,0,1,50k to <75k,Republican,A few times a week
975,Female,43,Some College,White/Non-Hispanic,South,No,"Christian, Protestant",0,0,0,0,100k to <150k,Republican,A few times a week
976,Male,76,Bachelor and Beyond,2+ Races/Non-Hispanic,West,Yes,Agnostic,0,0,1,1,25k to <50k,Other,Once a day
978,Female,59,Bachelor and Beyond,2+ Races/Non-Hispanic,Northeast,Yes,Nothing in particular,1,1,1,1,75k to <100k,Democrat,A few times a week
983,Male,26,Bachelor and Beyond,White/Non-Hispanic,Midwest,Yes,"Christian, Roman Catholic",0,0,0,0,150k+,Republican,Several Times a day
985,Male,65,Bachelor and Beyond,2+ Races/Non-Hispanic,South,Yes,"Christian, Roman Catholic",1,0,1,0,75k to <100k,Democrat,Once a day
986,Male,65,Some College,White/Non-Hispanic,Midwest,Yes,Atheist,0,0,0,0,50k to <75k,Other,A few times a month
987,Female,40,Some College,White/Non-Hispanic,Northeast,Yes,"Christian, Protestant",1,0,0,0,75k to <100k,Republican,A few times a week
989,Female,38,Some College,White/Non-Hispanic,Midwest,Yes,"Christian, Roman Catholic",0,0,0,0,100k to <150k,Republican,A few times a month
991,Male,55,Some College,White/Non-Hispanic,Northeast,Yes,"Christian, Protestant",0,0,0,0,100k to <150k,Other,Several Times a day
993,Male,49,Some College,2+ Races/Non-Hispanic,West,Yes,"Christian, Roman Catholic",0,0,0,0,25k to <50k,Other,Several Times a day
994,Female,34,Some College,White/Non-Hispanic,South,Yes,Other,1,0,1,0,25k to <50k,Other,Once a day
996,Male,30,Some College,Hispanic,South,Probably,Other,0,0,1,0,75k to <100k,Other,A few times a week
997,Male,30,Bachelor and Beyond,White/Non-Hispanic,South,Yes,Atheist,0,0,1,0,100k to <150k,Democrat,Several Times a day
998,Female,47,Some College,2+ Races/Non-Hispanic,Midwest,Yes,Other,0,0,0,0,100k to <150k,Other,A few times a week
1000,Female,68,Some College,White/Non-Hispanic,South,Yes,"Christian, Protestant",0,0,0,0,100k to <150k,Republican,Once a day
1002,Female,67,Some College,White/Non-Hispanic,Midwest,Yes,"Christian, Roman Catholic",0,0,0,0,75k to <100k,Republican,Several Times a day
1003,Male,36,Bachelor and Beyond,White/Non-Hispanic,Midwest,Yes,Nothing in particular,1,1,1,1,150k+,Democrat,Once a month or less
1009,Female,62,Bachelor and Beyond,White/Non-Hispanic,South,Yes,"Christian, Roman Catholic",1,0,0,0,150k+,Democrat,A few times a week
1010,Male,53,Bachelor and Beyond,White/Non-Hispanic,South,Yes,"Christian, Protestant",0,1,0,0,150k+,Republican,Once a week
1011,Female,32,Bachelor and Beyond,White/Non-Hispanic,South,Yes,,,,,,75k to <100k,Other,Several Times a day
1012,Female,22,Bachelor and Beyond,White/Non-Hispanic,Midwest,Yes,"Christian, Roman Catholic",1,0,0,0,50k to <75k,Democrat,Once a week
1015,Male,71,Bachelor and Beyond,White/Non-Hispanic,South,Yes,"Christian, Protestant",1,1,1,1,100k to <150k,Democrat,Once a month or less
1016,Male,69,Some College,White/Non-Hispanic,South,Yes,"Christian, Protestant",0,0,0,0,10k to <25k,Other,A few times a month
1017,Female,48,Less then High School,2+ Races/Non-Hispanic,South,Yes,"Christian, Roman Catholic",0,0,0,0,75k to <100k,Other,Once a day
1018,Male,34,Some College,White/Non-Hispanic,Northeast,Yes,"Christian, Protestant",0,0,0,0,<10k,Other,A few times a week
1022,Male,62,Some College,White/Non-Hispanic,South,Yes,Atheist,0,0,0,1,150k+,Democrat,A few times a week
1023,Female,63,Bachelor and Beyond,White/Non-Hispanic,West,Yes,"Christian, Protestant",1,1,1,1,75k to <100k,Democrat,Several Times a day
1024,Male,73,Some College,White/Non-Hispanic,West,Yes,Nothing in particular,1,0,0,0,25k to <50k,Other,Several Times a day
1025,Female,73,Bachelor and Beyond,White/Non-Hispanic,Northeast,Yes,"Christian, Roman Catholic",0,1,1,1,100k to <150k,Democrat,Several Times a day
1026,Male,52,High School,White/Non-Hispanic,Northeast,Yes,Other,0,0,1,0,75k to <100k,Democrat,Several Times a day
1027,Male,29,Bachelor and Beyond,White/Non-Hispanic,Midwest,Yes,Nothing in particular,0,0,0,0,75k to <100k,Democrat,Once a month or less
1029,Male,43,Bachelor and Beyond,White/Non-Hispanic,West,Yes,Agnostic,1,0,0,0,100k to <150k,Democrat,A few times a week
1030,Male,60,Bachelor and Beyond,White/Non-Hispanic,Midwest,Yes,"Christian, Roman Catholic",1,0,0,0,100k to <150k,Republican,A few times a month
1032,Male,71,Bachelor and Beyond,White/Non-Hispanic,Northeast,Yes,Jewish,1,0,1,1,150k+,Democrat,A few times a month
1036,Female,37,Bachelor and Beyond,Black/Non-Hispanic,Midwest,Yes,"Christian, Protestant",1,0,0,0,<10k,Democrat,Once a month or less
1037,Female,29,Bachelor and Beyond,White/Non-Hispanic,South,No,"Christian, Protestant",1,0,0,0,25k to <50k,Republican,Once a month or less
1038,Female,50,Some College,White/Non-Hispanic,Northeast,Yes,"Christian, Protestant",0,0,0,0,75k to <100k,Other,Several Times a day
1039,Male,33,Bachelor and Beyond,White/Non-Hispanic,West,Yes,"Christian, Roman Catholic",1,0,0,0,100k to <150k,Democrat,Several Times a day
1040,Male,45,Bachelor and Beyond,White/Non-Hispanic,West,Yes,"Christian, Roman Catholic",1,,0,0,100k to <150k,Other,Several Times a day
1042,Female,66,Some College,White/Non-Hispanic,Northeast,Yes,"Christian, Protestant",1,0,0,0,50k to <75k,Republican,Once a day
1043,Female,67,Bachelor and Beyond,White/Non-Hispanic,South,Yes,"Christian, Protestant",0,0,0,0,75k to <100k,Republican,Several Times a day
1045,Female,48,Bachelor and Beyond,White/Non-Hispanic,Midwest,Yes,"Christian, Protestant",1,0,0,0,100k to <150k,Republican,A few times a month
1047,Female,80,Bachelor and Beyond,White/Non-Hispanic,South,Yes,"Christian, Roman Catholic",1,0,0,0,50k to <75k,Republican,Several Times a day
1048,Male,53,High School,White/Non-Hispanic,South,Yes,Other,0,0,0,0,10k to <25k,Other,A few times a week
1051,Female,55,Bachelor and Beyond,Black/Non-Hispanic,South,Yes,"Christian, Protestant",1,1,1,1,100k to <150k,Democrat,Once a month or less
1052,Male,56,Bachelor and Beyond,White/Non-Hispanic,South,Yes,Jewish,0,0,0,0,50k to <75k,Republican,Several Times a day
1055,Female,26,Some College,White/Non-Hispanic,South,Yes,Nothing in particular,0,0,0,0,75k to <100k,Republican,Once a day
1056,Male,60,Bachelor and Beyond,White/Non-Hispanic,South,Yes,Agnostic,0,1,1,1,50k to <75k,Democrat,Several Times a day
1057,Male,34,Bachelor and Beyond,White/Non-Hispanic,South,Yes,Agnostic,0,0,0,0,150k+,Other,A few times a week
1060,Female,57,Bachelor and Beyond,White/Non-Hispanic,West,Yes,Jewish,1,0,0,0,75k to <100k,Democrat,Once a month or less
1064,Female,31,Bachelor and Beyond,White/Non-Hispanic,South,Yes,Jewish,1,0,1,0,100k to <150k,Democrat,A few times a month
1068,Male,60,Some College,White/Non-Hispanic,South,Yes,"Christian, Protestant",1,0,1,1,100k to <150k,Republican,A few times a week
1070,Female,37,Bachelor and Beyond,White/Non-Hispanic,Midwest,Yes,"Christian, Protestant",1,0,1,0,10k to <25k,Democrat,Several Times a day
1071,Female,52,High School,White/Non-Hispanic,Northeast,,"Christian, Roman Catholic",0,0,0,0,100k to <150k,Other,Once a day
1072,Male,48,Bachelor and Beyond,2+ Races/Non-Hispanic,South,No,Agnostic,1,0,0,0,25k to <50k,Other,Once a day
1073,Male,20,Some College,White/Non-Hispanic,Midwest,No,"Christian, Protestant",0,0,0,0,75k to <100k,Democrat,A few times a month
1076,Female,23,Bachelor and Beyond,White/Non-Hispanic,Midwest,Yes,"Christian, Protestant",1,0,0,0,<10k,Democrat,Several Times a day
1077,Female,75,Bachelor and Beyond,White/Non-Hispanic,West,Yes,Agnostic,1,1,,1,100k to <150k,Democrat,A few times a week
1078,Female,24,Bachelor and Beyond,White/Non-Hispanic,West,Yes,Jewish,0,0,0,0,<10k,Democrat,Once a month or less
1079,Male,41,High School,White/Non-Hispanic,South,No,"Christian, Protestant",0,0,0,0,50k to <75k,Democrat,Several Times a day
1080,Male,18,Less then High School,White/Non-Hispanic,South,Yes,"Christian, Protestant",1,0,0,0,100k to <150k,Republican,Several Times a day
1084,Male,27,Less then High School,White/Non-Hispanic,Midwest,No,Agnostic,0,0,0,0,25k to <50k,Other,A few times a week
1087,Female,75,Bachelor and Beyond,White/Non-Hispanic,Midwest,Yes,"Christian, Protestant",1,1,1,1,75k to <100k,Democrat,A few times a month
1089,Male,42,Bachelor and Beyond,White/Non-Hispanic,Northeast,Yes,Nothing in particular,1,0,0,0,75k to <100k,Other,Several Times a day
1090,Female,38,Bachelor and Beyond,White/Non-Hispanic,Northeast,Yes,Other,1,1,1,1,25k to <50k,Democrat,Several Times a day
1092,Female,72,Some College,White/Non-Hispanic,West,Yes,Nothing in particular,1,1,1,1,75k to <100k,Democrat,A few times a week
1096,Male,65,High School,Black/Non-Hispanic,South,Yes,"Christian, Protestant",0,0,0,0,<10k,Other,A few times a week
1097,Male,61,Bachelor and Beyond,White/Non-Hispanic,South,Yes,Nothing in particular,0,0,0,1,100k to <150k,Other,Several Times a day
1098,Female,34,Bachelor and Beyond,White/Non-Hispanic,Midwest,Yes,Agnostic,1,1,1,0,50k to <75k,Democrat,Once a month or less
1101,Female,37,Bachelor and Beyond,White/Non-Hispanic,Midwest,Yes,"Christian, Roman Catholic",1,0,0,0,25k to <50k,Other,A few times a week
1102,Male,76,Bachelor and Beyond,White/Non-Hispanic,South,Yes,"Christian, Protestant",1,0,0,0,100k to <150k,Other,A few times a month
1104,Female,45,Bachelor and Beyond,White/Non-Hispanic,South,Yes,Other,0,0,0,0,100k to <150k,Republican,Once a day
1105,Male,36,Bachelor and Beyond,White/Non-Hispanic,Midwest,Yes,"Christian, Roman Catholic",1,0,0,0,100k to <150k,Democrat,Several Times a day
1108,Female,71,Less then High School,White/Non-Hispanic,Midwest,No,"Christian, Protestant",1,0,0,0,<10k,Other,Once a week
1109,Female,34,Bachelor and Beyond,2+ Races/Non-Hispanic,Northeast,No,"Christian, Roman Catholic",0,0,0,0,50k to <75k,Democrat,A few times a week
1110,Female,53,Some College,White/Non-Hispanic,Northeast,Yes,Nothing in particular,0,0,0,0,50k to <75k,Other,Once a day
1112,Female,61,Bachelor and Beyond,White/Non-Hispanic,South,Yes,"Christian, Protestant",0,1,0,1,25k to <50k,Other,Once a week
1115,Female,23,Bachelor and Beyond,Black/Non-Hispanic,Northeast,Yes,Other,1,0,0,0,75k to <100k,Democrat,A few times a week
1116,Male,60,Some College,White/Non-Hispanic,South,Yes,"Christian, Protestant",1,0,1,0,100k to <150k,Other,Several Times a day
1118,Female,69,Bachelor and Beyond,White/Non-Hispanic,Midwest,Yes,"Christian, Roman Catholic",0,0,0,0,50k to <75k,Democrat,A few times a week
1122,Male,48,Bachelor and Beyond,Black/Non-Hispanic,Midwest,Yes,"Christian, Protestant",0,0,0,0,150k+,Democrat,Once a day
1123,Male,40,Bachelor and Beyond,White/Non-Hispanic,Midwest,Yes,"Christian, Roman Catholic",0,0,0,0,75k to <100k,Other,A few times a week
1124,Female,48,Some College,Black/Non-Hispanic,South,Yes,"Christian, Protestant",1,1,0,0,50k to <75k,Democrat,Several Times a day
1127,Female,23,Some College,Black/Non-Hispanic,South,Yes,Nothing in particular,0,0,0,0,25k to <50k,Other,Once a day
1128,Male,69,Bachelor and Beyond,White/Non-Hispanic,South,Yes,"Christian, Protestant",0,1,1,1,75k to <100k,Democrat,Once a month or less
1130,Male,55,Bachelor and Beyond,White/Non-Hispanic,West,Yes,"Christian, Roman Catholic",0,0,0,0,25k to <50k,Republican,Several Times a day
1131,Female,32,Bachelor and Beyond,White/Non-Hispanic,West,No,"Christian, Roman Catholic",1,0,0,0,100k to <150k,Democrat,Once a month or less
1133,Female,57,Bachelor and Beyond,White/Non-Hispanic,South,Yes,Agnostic,1,0,1,1,150k+,Democrat,Several Times a day
1134,Female,33,Bachelor and Beyond,2+ Races/Non-Hispanic,South,No,Agnostic,1,0,1,0,50k to <75k,Other,Once a month or less
1135,Female,66,Bachelor and Beyond,Black/Non-Hispanic,Midwest,Yes,"Christian, Protestant",0,0,0,0,50k to <75k,Democrat,Once a month or less
1136,Male,66,Bachelor and Beyond,White/Non-Hispanic,Northeast,Yes,Nothing in particular,0,0,1,1,25k to <50k,Other,Once a week
1137,Male,52,High School,White/Non-Hispanic,South,Yes,Agnostic,0,0,0,0,100k to <150k,Other,Once a month or less
1138,Male,57,Bachelor and Beyond,White/Non-Hispanic,West,Yes,"Christian, Roman Catholic",0,0,0,1,10k to <25k,Democrat,Once a month or less
1140,Female,64,Bachelor and Beyond,White/Non-Hispanic,Midwest,Yes,"Christian, Protestant",0,0,1,1,50k to <75k,Democrat,Several Times a day
1141,Female,25,Some College,White/Non-Hispanic,Northeast,Yes,Nothing in particular,1,1,1,0,75k to <100k,Republican,Several Times a day
1143,Female,35,Bachelor and Beyond,White/Non-Hispanic,South,Yes,"Christian, Protestant",0,0,0,0,75k to <100k,Republican,Once a month or less
1144,Female,68,Bachelor and Beyond,Hispanic,West,Yes,"Christian, Protestant",1,0,0,0,50k to <75k,Other,A few times a week
1145,Male,69,Bachelor and Beyond,2+ Races/Non-Hispanic,South,Yes,"Christian, Protestant",1,0,1,1,100k to <150k,Other,Several Times a day
1146,Female,63,Bachelor and Beyond,White/Non-Hispanic,West,Yes,"Christian, Protestant",0,0,0,0,50k to <75k,Other,A few times a week
1150,Male,27,Some College,2+ Races/Non-Hispanic,West,No,Nothing in particular,0,0,0,0,<10k,Other,Several Times a day
1152,Male,63,Bachelor and Beyond,White/Non-Hispanic,Northeast,Yes,"Christian, Roman Catholic",1,0,0,0,10k to <25k,Other,Several Times a day
1153,Male,31,Bachelor and Beyond,Other/Non-Hispanic,West,Yes,Atheist,0,0,0,0,100k to <150k,Democrat,Once a month or less
1154,Male,28,Bachelor and Beyond,Hispanic,South,Yes,"Christian, Roman Catholic",1,0,0,0,100k to <150k,Republican,A few times a week
1155,Female,38,Bachelor and Beyond,Black/Non-Hispanic,Midwest,Yes,"Christian, Protestant",0,0,1,0,25k to <50k,Democrat,Several Times a day
1156,Female,19,Some College,White/Non-Hispanic,South,Yes,"Christian, Protestant",1,0,0,0,75k to <100k,Republican,Once a day
1157,Male,56,Bachelor and Beyond,White/Non-Hispanic,Northeast,Yes,Jewish,1,0,1,1,150k+,Democrat,A few times a week
1158,Male,34,Bachelor and Beyond,White/Non-Hispanic,Northeast,Yes,"Christian, Protestant",0,0,1,0,50k to <75k,Republican,Several Times a day
1160,Female,51,Some College,White/Non-Hispanic,Northeast,Yes,"Christian, Roman Catholic",0,0,0,0,75k to <100k,Other,Once a day
1162,Male,62,Bachelor and Beyond,White/Non-Hispanic,Midwest,Yes,"Christian, Protestant",1,0,1,1,100k to <150k,Other,Once a week
1164,Female,48,Some College,White/Non-Hispanic,West,Yes,Nothing in particular,0,0,1,0,10k to <25k,Democrat,A few times a week
1165,Male,52,Bachelor and Beyond,White/Non-Hispanic,Midwest,Yes,Jewish,,1,0,1,100k to <150k,Democrat,Several Times a day
1166,Female,51,Bachelor and Beyond,White/Non-Hispanic,Midwest,Yes,"Christian, Roman Catholic",0,1,1,0,100k to <150k,Democrat,A few times a week
1167,Female,70,High School,White/Non-Hispanic,Northeast,Yes,"Christian, Protestant",0,0,0,1,100k to <150k,Republican,Once a week
1169,Male,54,Bachelor and Beyond,White/Non-Hispanic,West,Yes,Other,0,0,0,0,75k to <100k,Republican,Several Times a day
1172,Male,58,Some College,White/Non-Hispanic,South,Yes,Buddhist,1,0,1,0,75k to <100k,Other,Once a day
1175,Female,39,Some College,White/Non-Hispanic,Midwest,Yes,"Christian, Protestant",1,0,0,0,75k to <100k,Republican,Once a month or less
1179,Female,43,Some College,White/Non-Hispanic,South,Yes,"Christian, Protestant",1,0,1,1,50k to <75k,Democrat,Several Times a day
1182,Male,58,Bachelor and Beyond,White/Non-Hispanic,West,Yes,Agnostic,1,0,0,1,50k to <75k,Other,Once a month or less
1183,Female,28,Bachelor and Beyond,White/Non-Hispanic,Midwest,Yes,Nothing in particular,,1,0,0,75k to <100k,Democrat,A few times a week
1184,Male,36,Less then High School,2+ Races/Non-Hispanic,South,Yes,Agnostic,0,0,0,1,<10k,Democrat,Several Times a day
1185,Female,40,Bachelor and Beyond,White/Non-Hispanic,South,Yes,"Christian, Protestant",1,0,0,0,75k to <100k,Other,Once a month or less
1186,Female,31,Bachelor and Beyond,White/Non-Hispanic,Midwest,Yes,Agnostic,1,1,1,1,100k to <150k,Democrat,Several Times a day
1187,Male,20,Some College,2+ Races/Non-Hispanic,South,Yes,Nothing in particular,0,0,0,0,75k to <100k,Other,Several Times a day
1188,Female,59,Bachelor and Beyond,White/Non-Hispanic,South,Yes,"Christian, Protestant",1,0,1,0,150k+,Republican,A few times a month
1190,Female,42,High School,2+ Races/Non-Hispanic,West,No,"Christian, Roman Catholic",0,0,0,0,75k to <100k,Other,Once a month or less
1192,Male,63,Some College,White/Non-Hispanic,Northeast,Yes,"Christian, Protestant",0,0,0,0,50k to <75k,Republican,A few times a week
1194,Female,58,High School,Black/Non-Hispanic,South,Yes,"Christian, Protestant",0,0,0,0,75k to <100k,Democrat,A few times a month
1198,Male,70,Bachelor and Beyond,White/Non-Hispanic,South,Yes,"Christian, Protestant",1,1,1,,75k to <100k,Other,A few times a week
1199,Female,53,Some College,White/Non-Hispanic,West,Yes,"Christian, Protestant",1,0,1,0,75k to <100k,Republican,Once a month or less
1200,Male,47,Bachelor and Beyond,White/Non-Hispanic,Northeast,Yes,Nothing in particular,1,0,1,0,75k to <100k,Democrat,Once a month or less
1201,Male,65,Bachelor and Beyond,2+ Races/Non-Hispanic,Northeast,Yes,"Christian, Roman Catholic",0,0,0,0,150k+,Other,Several Times a day
1202,Male,49,Bachelor and Beyond,White/Non-Hispanic,South,Yes,Agnostic,1,0,1,0,100k to <150k,Other,Several Times a day
1204,Female,36,Bachelor and Beyond,Black/Non-Hispanic,South,Yes,Other,1,0,0,0,100k to <150k,Democrat,A few times a month
1207,Male,32,Some College,White/Non-Hispanic,South,Yes,Nothing in particular,0,0,0,0,75k to <100k,Other,Several Times a day
1208,Male,63,Bachelor and Beyond,White/Non-Hispanic,Midwest,Yes,"Christian, Protestant",1,1,1,1,75k to <100k,Other,Several Times a day
1209,Female,67,Bachelor and Beyond,Hispanic,Northeast,Yes,Jewish,1,0,1,1,100k to <150k,Other,Once a week
1210,Female,30,Bachelor and Beyond,White/Non-Hispanic,South,Yes,"Christian, Protestant",0,0,1,0,50k to <75k,Democrat,A few times a month
1211,Female,57,Bachelor and Beyond,2+ Races/Non-Hispanic,South,Yes,"Christian, Roman Catholic",1,1,1,0,75k to <100k,Republican,Once a day
1212,Female,38,Bachelor and Beyond,White/Non-Hispanic,South,Yes,"Christian, Protestant",0,0,0,0,50k to <75k,Republican,A few times a month
1213,Female,60,Bachelor and Beyond,White/Non-Hispanic,Midwest,Yes,Other,1,1,1,1,150k+,Democrat,Several Times a day
1214,Female,53,High School,White/Non-Hispanic,South,Yes,"Christian, Protestant",1,0,1,0,25k to <50k,Other,A few times a week
1216,Female,64,Some College,White/Non-Hispanic,Northeast,Yes,"Christian, Roman Catholic",1,0,1,0,75k to <100k,Democrat,Several Times a day
1218,Female,63,High School,White/Non-Hispanic,Midwest,Yes,"Christian, Orthodox",0,0,1,0,75k to <100k,Democrat,Several Times a day
1220,Female,38,Bachelor and Beyond,White/Non-Hispanic,West,Yes,Nothing in particular,0,0,0,0,100k to <150k,Other,Once a week
1223,Male,30,Some College,2+ Races/Non-Hispanic,West,Yes,Other,1,1,1,0,50k to <75k,Democrat,A few times a month
1224,Female,63,Bachelor and Beyond,Hispanic,Northeast,Yes,"Christian, Protestant",1,1,1,1,100k to <150k,Other,Several Times a day
1226,Female,46,Bachelor and Beyond,Black/Non-Hispanic,Midwest,Yes,"Christian, Protestant",1,0,0,0,75k to <100k,Democrat,A few times a month
1227,Female,78,Some College,White/Non-Hispanic,Midwest,Yes,"Christian, Roman Catholic",1,1,1,0,75k to <100k,Other,Once a month or less
1228,Female,24,Some College,White/Non-Hispanic,South,Yes,"Christian, Protestant",0,0,0,0,10k to <25k,Other,Once a day
1229,Male,55,Bachelor and Beyond,White/Non-Hispanic,Midwest,Yes,"Christian, Protestant",1,0,1,0,50k to <75k,Republican,A few times a month
1232,Male,46,Some College,White/Non-Hispanic,West,Yes,Agnostic,1,0,0,0,150k+,Other,A few times a week
1235,Male,58,Bachelor and Beyond,White/Non-Hispanic,Northeast,Yes,Agnostic,1,0,0,0,100k to <150k,Republican,Once a month or less
1242,Male,36,Bachelor and Beyond,White/Non-Hispanic,Northeast,Yes,Atheist,0,0,0,0,150k+,Other,A few times a week
1245,Female,46,Bachelor and Beyond,White/Non-Hispanic,West,Yes,"Christian, Protestant",1,0,0,0,100k to <150k,Democrat,Several Times a day
1246,Male,67,Some College,White/Non-Hispanic,South,Yes,Nothing in particular,0,0,1,0,50k to <75k,Republican,A few times a week
1247,Female,64,Bachelor and Beyond,White/Non-Hispanic,Midwest,Yes,"Christian, Roman Catholic",1,0,1,0,<10k,Republican,Several Times a day
1248,Male,30,Bachelor and Beyond,White/Non-Hispanic,Midwest,Yes,Jewish,1,0,0,0,10k to <25k,Democrat,Once a month or less
1249,Female,22,Some College,White/Non-Hispanic,South,Yes,Nothing in particular,0,0,0,0,10k to <25k,Democrat,Several Times a day
1250,Male,38,Some College,Black/Non-Hispanic,Midwest,Yes,Other,1,0,0,0,50k to <75k,Democrat,Several Times a day
1251,Female,61,Bachelor and Beyond,White/Non-Hispanic,South,Yes,"Christian, Protestant",1,1,1,1,75k to <100k,Republican,Once a month or less
1252,Female,73,Some College,White/Non-Hispanic,West,Yes,"Christian, Roman Catholic",0,0,1,0,10k to <25k,Democrat,A few times a month
1254,Female,51,High School,White/Non-Hispanic,Midwest,Yes,Nothing in particular,0,0,1,0,50k to <75k,Democrat,Once a day
1255,Female,59,Bachelor and Beyond,White/Non-Hispanic,West,Yes,Jewish,0,0,0,,100k to <150k,Republican,A few times a month
1257,Male,75,Bachelor and Beyond,White/Non-Hispanic,South,Yes,Jewish,0,0,1,1,150k+,Democrat,Once a month or less
1259,Male,54,Bachelor and Beyond,White/Non-Hispanic,Northeast,Yes,"Christian, Protestant",1,0,0,0,150k+,Republican,Once a week
1260,Male,24,Some College,White/Non-Hispanic,South,No,Nothing in particular,1,1,1,0,<10k,Other,Once a day
1261,Male,44,Bachelor and Beyond,White/Non-Hispanic,Midwest,Yes,Atheist,0,0,1,0,50k to <75k,Other,Several Times a day
1263,Male,62,Bachelor and Beyond,White/Non-Hispanic,Midwest,Yes,"Christian, Protestant",1,0,1,0,150k+,Republican,Once a day
1265,Male,44,High School,White/Non-Hispanic,Northeast,Yes,"Christian, Protestant",1,0,0,0,50k to <75k,Other,A few times a week
1267,Male,86,Bachelor and Beyond,White/Non-Hispanic,Midwest,Yes,Agnostic,1,1,1,1,100k to <150k,Other,Several Times a day
1268,Male,49,Some College,White/Non-Hispanic,Northeast,Yes,"Christian, Roman Catholic",1,0,0,0,10k to <25k,Other,Several Times a day
1269,Male,52,Some College,2+ Races/Non-Hispanic,South,Yes,"Christian, Roman Catholic",0,0,0,0,50k to <75k,Other,A few times a month
1270,Male,43,Bachelor and Beyond,White/Non-Hispanic,Northeast,Yes,"Christian, Roman Catholic",1,0,0,0,100k to <150k,Republican,A few times a week
1271,Female,78,High School,White/Non-Hispanic,Midwest,Yes,"Christian, Protestant",0,0,0,0,50k to <75k,Democrat,A few times a week
1273,Male,35,Bachelor and Beyond,2+ Races/Non-Hispanic,Midwest,Yes,Nothing in particular,0,0,1,0,75k to <100k,Democrat,Several Times a day
1274,Male,61,Bachelor and Beyond,Black/Non-Hispanic,South,Yes,"Christian, Protestant",1,0,0,0,50k to <75k,Democrat,Several Times a day
1275,Male,67,Bachelor and Beyond,White/Non-Hispanic,Midwest,Yes,Atheist,0,0,1,0,100k to <150k,Other,A few times a week
1277,Female,38,Bachelor and Beyond,White/Non-Hispanic,South,Yes,"Christian, Protestant",1,0,1,0,75k to <100k,Republican,A few times a week
1278,Female,51,Bachelor and Beyond,White/Non-Hispanic,Northeast,Yes,"Christian, Protestant",1,0,1,0,100k to <150k,Republican,A few times a week
1280,Female,23,Bachelor and Beyond,Other/Non-Hispanic,West,Yes,"Christian, Protestant",1,0,0,0,50k to <75k,Democrat,Several Times a day
1284,Male,29,Bachelor and Beyond,White/Non-Hispanic,Northeast,Yes,"Christian, Protestant",1,0,0,0,75k to <100k,Democrat,A few times a week
1285,Male,49,Bachelor and Beyond,White/Non-Hispanic,Midwest,Yes,"Christian, Protestant",0,0,0,0,75k to <100k,Republican,Once a week
1286,Female,33,Some College,White/Non-Hispanic,Midwest,No,"Christian, Protestant",1,0,0,0,75k to <100k,Other,Several Times a day
1287,Male,29,Bachelor and Beyond,Other/Non-Hispanic,South,No,Agnostic,1,0,0,0,75k to <100k,Democrat,Several Times a day
1290,Female,44,Bachelor and Beyond,White/Non-Hispanic,West,Yes,Nothing in particular,1,0,0,0,100k to <150k,Other,Once a month or less
1292,Male,53,Bachelor and Beyond,White/Non-Hispanic,Midwest,Yes,Other,1,0,,0,100k to <150k,Other,Several Times a day
1293,Female,33,Bachelor and Beyond,White/Non-Hispanic,South,Yes,Atheist,0,0,1,0,100k to <150k,Democrat,Once a week
1294,Male,58,Bachelor and Beyond,White/Non-Hispanic,Midwest,Yes,Atheist,0,0,1,0,150k+,Other,Several Times a day
1300,Male,63,Bachelor and Beyond,White/Non-Hispanic,South,Yes,"Christian, Protestant",1,0,0,0,100k to <150k,Republican,A few times a week
1301,Female,43,Some College,White/Non-Hispanic,South,Yes,"Christian, Protestant",0,0,0,0,100k to <150k,Democrat,Several Times a day
